date_key,full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_of_week,day_name,is_weekend
20080324,2008-03-24,2008,1,3,March,13,24,1,Monday,0
20080325,2008-03-25,2008,1,3,March,13,25,2,Tuesday,0
20080326,2008-03-26,2008,1,3,March,13,26,3,Wednesday,0
20080327,2008-03-27,2008,1,3,March,13,27,4,Thursday,0
20080328,2008-03-28,2008,1,3,March,13,28,5,Friday,0
20080329,2008-03-29,2008,1,3,March,13,29,6,Saturday,1
20080330,2008-03-30,2008,1,3,March,13,30,7,Sunday,1
20080331,2008-03-31,2008,1,3,March,14,31,1,Monday,0
20080401,2008-04-01,2008,2,4,April,14,1,2,Tuesday,0
20080402,2008-04-02,2008,2,4,April,14,2,3,Wednesday,0
20080403,2008-04-03,2008,2,4,April,14,3,4,Thursday,0
20080404,2008-04-04,2008,2,4,April,14,4,5,Friday,0
20080405,2008-04-05,2008,2,4,April,14,5,6,Saturday,1
20080406,2008-04-06,2008,2,4,April,14,6,7,Sunday,1
20080407,2008-04-07,2008,2,4,April,15,7,1,Monday,0
20080408,2008-04-08,2008,2,4,April,15,8,2,Tuesday,0
20080409,2008-04-09,2008,2,4,April,15,9,3,Wednesday,0
20080410,2008-04-10,2008,2,4,April,15,10,4,Thursday,0
20080411,2008-04-11,2008,2,4,April,15,11,5,Friday,0
20080412,2008-04-12,2008,2,4,April,15,12,6,Saturday,1
20080413,2008-04-13,2008,2,4,April,15,13,7,Sunday,1
20080414,2008-04-14,2008,2,4,April,16,14,1,Monday,0
20080415,2008-04-15,2008,2,4,April,16,15,2,Tuesday,0
20080416,2008-04-16,2008,2,4,April,16,16,3,Wednesday,0
20080417,2008-04-17,2008,2,4,April,16,17,4,Thursday,0
20080418,2008-04-18,2008,2,4,April,16,18,5,Friday,0
20080419,2008-04-19,2008,2,4,April,16,19,6,Saturday,1
20080420,2008-04-20,2008,2,4,April,16,20,7,Sunday,1
20080421,2008-04-21,2008,2,4,April,17,21,1,Monday,0
20080422,2008-04-22,2008,2,4,April,17,22,2,Tuesday,0
20080423,2008-04-23,2008,2,4,April,17,23,3,Wednesday,0
20080424,2008-04-24,2008,2,4,April,17,24,4,Thursday,0
20080425,2008-04-25,2008,2,4,April,17,25,5,Friday,0
20080426,2008-04-26,2008,2,4,April,17,26,6,Saturday,1
20080427,2008-04-27,2008,2,4,April,17,27,7,Sunday,1
20080428,2008-04-28,2008,2,4,April,18,28,1,Monday,0
20080429,2008-04-29,2008,2,4,April,18,29,2,Tuesday,0
20080430,2008-04-30,2008,2,4,April,18,30,3,Wednesday,0
20080501,2008-05-01,2008,2,5,May,18,1,4,Thursday,0
20080502,2008-05-02,2008,2,5,May,18,2,5,Friday,0
20080503,2008-05-03,2008,2,5,May,18,3,6,Saturday,1
20080504,2008-05-04,2008,2,5,May,18,4,7,Sunday,1
20080505,2008-05-05,2008,2,5,May,19,5,1,Monday,0
20080506,2008-05-06,2008,2,5,May,19,6,2,Tuesday,0
20080507,2008-05-07,2008,2,5,May,19,7,3,Wednesday,0
20080508,2008-05-08,2008,2,5,May,19,8,4,Thursday,0
20080509,2008-05-09,2008,2,5,May,19,9,5,Friday,0
20080510,2008-05-10,2008,2,5,May,19,10,6,Saturday,1
20080511,2008-05-11,2008,2,5,May,19,11,7,Sunday,1
20080512,2008-05-12,2008,2,5,May,20,12,1,Monday,0
20080513,2008-05-13,2008,2,5,May,20,13,2,Tuesday,0
20080514,2008-05-14,2008,2,5,May,20,14,3,Wednesday,0
20080515,2008-05-15,2008,2,5,May,20,15,4,Thursday,0
20080516,2008-05-16,2008,2,5,May,20,16,5,Friday,0
20080517,2008-05-17,2008,2,5,May,20,17,6,Saturday,1
20080518,2008-05-18,2008,2,5,May,20,18,7,Sunday,1
20080519,2008-05-19,2008,2,5,May,21,19,1,Monday,0
20080520,2008-05-20,2008,2,5,May,21,20,2,Tuesday,0
20080521,2008-05-21,2008,2,5,May,21,21,3,Wednesday,0
20080522,2008-05-22,2008,2,5,May,21,22,4,Thursday,0
20080523,2008-05-23,2008,2,5,May,21,23,5,Friday,0
20080524,2008-05-24,2008,2,5,May,21,24,6,Saturday,1
20080525,2008-05-25,2008,2,5,May,21,25,7,Sunday,1
20080526,2008-05-26,2008,2,5,May,22,26,1,Monday,0
20080527,2008-05-27,2008,2,5,May,22,27,2,Tuesday,0
20080528,2008-05-28,2008,2,5,May,22,28,3,Wednesday,0
20080529,2008-05-29,2008,2,5,May,22,29,4,Thursday,0
20080530,2008-05-30,2008,2,5,May,22,30,5,Friday,0
20080531,2008-05-31,2008,2,5,May,22,31,6,Saturday,1
20080601,2008-06-01,2008,2,6,June,22,1,7,Sunday,1
20080602,2008-06-02,2008,2,6,June,23,2,1,Monday,0
20080603,2008-06-03,2008,2,6,June,23,3,2,Tuesday,0
20080604,2008-06-04,2008,2,6,June,23,4,3,Wednesday,0
20080605,2008-06-05,2008,2,6,June,23,5,4,Thursday,0
